iter	Passed	Remaining
173	636	3023
174	638	3008
175	639	2993
176	640	2978
177	641	2963
178	642	2948
179	644	2934
180	644	2917
181	645	2902
182	647	2890
183	649	2878
184	650	2865
185	651	2851
186	652	2838
187	654	2828
188	657	2819
189	658	2806
190	659	2793
191	662	2785
192	663	2774
193	664	2761
194	665	2748
195	668	2740
196	670	2731
197	671	2719
198	672	2706
199	673	2694
200	676	2688
201	677	2676
202	678	2665
203	680	2653
204	681	2641
205	683	2635
206	685	2624
207	686	2613
208	687	2602
209	688	2590
210	691	2584
211	693	2576
212	694	2567
213	696	2556
214	697	2546
215	700	2541
216	701	2531
217	702	2520
218	703	2510
219	705	2499
220	708	2495
221	709	2485
222	710	2475
223	711	2465
224	714	2459
225	715	2451
226	717	2442
227	718	2432
228	719	2422
229	722	2419
230	725	2414
231	726	2405
232	727	2395
233	728	2386
234	730	2377
235	731	2367
236	732	2358
237	733	2349
238	735	2342
239	737	2334
240	738	2326
241	739	2317
242	741	2310
243	744	2305
244	745	2296
245	746	2287
246	747	2279
247	748	2270
248	751	2266
249	752	2258
250	754	2250
251	755	2241
252	758	2238
253	759	2230
254	760	2222
255	762	2214
256	763	2206
257	766	2203
258	767	2196
259	768	2188
260	770	2180
261	772	2176
262	774	2169
263	775	2161
264	776	2153
265	778	2147
266	780	2141
267	781	2134
268	782	2127
269	784	2120
270	787	2117
271	788	2110
272	789	2103
273	791	2096
274	792	2089
275	794	2084
276	795	2077
277	796	2069
278	798	2062
279	801	2059
280	802	2054
281	804	2047
282	805	2040
283	806	2033
284	809	2030
285	810	2024
286	811	2017
287	813	2010
288	816	2007
289	817	2001
290	818	1994
291	819	1988
292	821	1981
293	823	1978
294	825	1971
295	826	1965
296	827	1959
297	830	1955
298	831	1949
299	832	1943
300	833	1936
301	835	1930
302	837	1927
303	839	1921
304	840	1915
305	841	1908
306	843	1904
307	845	1900
308	847	1894
309	848	1888
310	849	1882
311	852	1879
312	854	1875
313	855	1869
314	856	1863
315	858	1859
316	860	1854
317	862	1849
318	863	1843
319	864	1837
320	867	1834
321	868	1828
322	869	1822
323	871	1817
324	873	1814
325	875	1809
326	876	1804
327	877	1798
328	879	1793
329	881	1790
330	884	1788
331	885	1782
332	887	1776
333	888	1771
334	889	1766
335	891	1760
336	892	1755
337	893	1749
338	895	1746
339	898	1744
340	899	1738
341	901	1733
342	903	1730
343	905	1725
344	907	1722
345	912	1724
346	915	1722
347	917	1718
348	918	1713
349	920	1710
350	922	1705
351	924	1701
352	926	1698
353	928	1694
354	930	1690
355	932	1686
356	933	1682
357	935	1678
358	938	1676
359	942	1674
360	946	1674
361	947	1670
362	949	1666
363	951	1662
364	953	1658
365	956	1656
366	958	1652
367	960	1649
368	963	1647
369	965	1643
370	966	1639
371	968	1634
372	971	1633
373	973	1629
374	978	1630
375	980	1627
376	981	1622
377	983	1618
378	985	1613
379	987	1611
380	989	1606
381	991	1603
382	992	1599
383	995	1596
384	997	1593
385	1000	1590
386	1002	1587
387	1004	1584
388	1006	1580
389	1008	1578
390	1010	1574
391	1012	1571
392	1016	1570
393	1018	1567
394	1020	1563
395	1023	1560
396	1025	1557
397	1027	1554
398	1031	1553
399	1033	1550
400	1036	1548
401	1037	1543
402	1039	1539
403	1041	1536
404	1044	1534
405	1046	1530
406	1047	1526
407	1049	1522
408	1051	1519
409	1053	1516
410	1055	1512
411	1056	1508
412	1059	1506
413	1062	1503
414	1065	1501
415	1067	1498
416	1070	1496
417	1072	1493
418	1075	1491
419	1078	1488
420	1080	1485
421	1082	1482
422	1084	1479
423	1087	1476
424	1088	1473
425	1091	1470
426	1092	1466
427	1093	1461
428	1095	1457
429	1096	1454
430	1098	1450
431	1099	1446
432	1102	1443
433	1104	1440
434	1106	1437
435	1109	1434
436	1111	1431
437	1113	1428
438	1115	1425
439	1117	1422
440	1120	1419
441	1122	1416
442	1124	1414
443	1129	1414
444	1131	1411
445	1133	1407
